bin_seconds,day_count,mean_realized_1s_volatility,std_across_days
0,70,4.6239210216147585e-05,2.174293501788954e-05
300,70,4.1784657207638013e-05,2.512516964739619e-05
600,70,3.9235817780926784e-05,2.1595274722285454e-05
900,70,3.914708085353721e-05,2.3882274223236843e-05
1200,70,3.734569590100324e-05,2.1561955569779987e-05
1500,70,3.8897999661198306e-05,2.3694301057357846e-05
1800,70,4.025944087566325e-05,2.628387731028171e-05
2100,70,3.65053101723915e-05,2.2198684581135747e-05
2400,70,3.4935366615216765e-05,2.2158201495795916e-05
2700,70,3.286448998511738e-05,2.023857427686565e-05
3000,70,3.259672258877514e-05,2.17483079323234e-05
3300,70,3.243442804487624e-05,2.0742722326513207e-05
3600,70,3.270940907259993e-05,2.1602124955971952e-05
3900,70,3.157871546785404e-05,1.9988708647831587e-05
4200,70,3.0286764925397475e-05,2.0761580675401554e-05
4500,70,2.9467342753870975e-05,1.7114318080279197e-05
4800,70,2.836813758473322e-05,1.7471393197668438e-05
5100,70,2.8684853273676154e-05,2.039782353489857e-05
5400,70,2.8211708781698e-05,1.769322389478801e-05
5700,70,2.7289472648145143e-05,1.694115170193729e-05
6000,70,2.6255941663487842e-05,1.568042397629795e-05
6300,70,2.4944098367900116e-05,1.5455012842616155e-05
6600,70,2.4404316331943406e-05,1.4100183420018883e-05
6900,70,2.519867316350682e-05,1.6990762094383275e-05
7200,70,2.5436846429453933e-05,1.5992776953132983e-05
7500,70,2.419600879291324e-05,1.4943298741494598e-05
7800,70,2.392861354634852e-05,1.3523527733873592e-05
8100,70,2.2901275042894784e-05,1.31593367184974e-05
8400,70,2.22792621602555e-05,1.3193598387913554e-05
8700,70,2.1859073428123735e-05,1.2669836549619453e-05
9000,70,2.2503211894762026e-05,1.214947542927452e-05
9300,70,2.1640370425526732e-05,1.2250524534235872e-05
9600,70,2.0794573011759184e-05,1.1366789223983734e-05
9900,70,2.0265535714334584e-05,1.1496482154552135e-05
10200,70,2.0768932406050303e-05,1.1832484753028162e-05
10500,70,2.0942820564077234e-05,1.2865085146473949e-05
10800,70,2.1523420204345824e-05,1.3228031448914222e-05
11100,70,2.1565638940795052e-05,1.5752552430409785e-05
11400,70,2.11813666717413e-05,1.383049864141794e-05
11700,70,2.165160015054577e-05,1.5137443837800179e-05
12000,70,2.129808546716014e-05,1.4686364234202306e-05
12300,70,2.1455269028619142e-05,1.4664722456743959e-05
12600,70,2.3981573913507134e-05,1.56960151082163e-05
12900,70,2.132688502745792e-05,1.3609791438110042e-05
13200,70,2.0277462060614606e-05,1.3349902390452457e-05
13500,70,2.0594582088851623e-05,1.3264582833593163e-05
13800,70,2.0647502993281467e-05,1.3676793617509685e-05
14100,70,2.094066971657772e-05,1.3731279035764997e-05
14400,70,2.172093998562546e-05,1.5965101775609188e-05
14700,69,2.0791563755946044e-05,1.4795699867512834e-05
15000,67,2.1338530177106947e-05,1.717624491215229e-05
15300,67,2.1405280594338908e-05,1.768690482512919e-05
15600,67,2.128679810599403e-05,1.607025024222276e-05
15900,67,2.516586834066696e-05,1.9385754430826813e-05
16200,67,2.7898656939678288e-05,1.953223533526725e-05
16500,67,2.6186292696371148e-05,1.8392435474442845e-05
16800,67,2.4462229774249453e-05,1.644303756819704e-05
17100,67,2.369324980672321e-05,1.6165228652314237e-05
17400,65,2.329089028147208e-05,1.4701097660696142e-05
17700,65,2.3108542332417188e-05,1.4639908290241818e-05
18000,65,2.3600750193326972e-05,1.674613363409183e-05
18300,65,2.3210923129190744e-05,1.505894527081076e-05
18600,65,2.263724014296403e-05,1.471982076618034e-05
18900,65,2.2348877761881703e-05,1.5921464083514218e-05
19200,65,2.3508241112974736e-05,1.6935475984824803e-05
19500,65,2.5369078512340872e-05,1.9100783145845367e-05
19800,65,2.4561060080167638e-05,1.534322142892594e-05
20100,65,2.3707861779428067e-05,1.5199010073601434e-05
20400,65,2.4213737355676215e-05,1.5094770404310736e-05
20700,65,2.367614831491623e-05,1.4924496499418813e-05
21000,65,2.3054598180124696e-05,1.4656957616685518e-05
21300,65,2.3926595128932182e-05,1.5387385874274696e-05
21600,65,2.5162664172821935e-05,1.5049585462573032e-05
21900,65,2.4976427117376633e-05,1.549261604777588e-05
22200,65,2.662033071036804e-05,2.149722789296816e-05
22500,65,3.073102092294991e-05,1.899858352172441e-05
22800,65,3.3767033403588086e-05,1.669843815349335e-05
23100,65,3.460874271220286e-05,1.2808647187763226e-05
