scope,horizon,n_observations,k_tail_samples,hill_tail_index,excess_kurtosis
pooled,1min,1591812,1261,4.0236,16.294311817651753
pooled,5min,1575012,1254,5.1645,11.426711229603335
day_1,1min,23280,152,6.8222,2.954888785878424
day_2,1min,23280,152,9.6436,0.02619372460578484
day_3,1min,23280,152,7.6581,2.924920825690659
day_4,1min,23280,152,5.838,1.582776291821271
day_5,1min,23280,152,6.8708,1.2807929138026157
day_6,1min,23280,152,6.6989,0.844137565224143
day_7,1min,23280,152,9.4849,0.6146714347435154
day_8,1min,23280,152,3.6962,4.331916680293991
day_9,1min,23280,152,6.002,1.1942674325951863
day_10,1min,23280,152,5.3688,2.56045535468781
day_11,1min,23280,152,7.9582,0.6235621663536937
day_12,1min,23280,152,4.8563,2.1364231379489205
day_13,1min,23280,152,9.2891,2.280699838977818
day_14,1min,23280,152,8.0159,5.3262059605506
day_15,1min,23280,152,6.2593,1.8731210664276672
day_16,1min,23280,152,6.542,1.5787485313212235
day_17,1min,23280,152,8.0027,0.9279175307608374
day_18,1min,23280,152,7.5432,0.5342982332139541
day_19,1min,23280,152,5.939,2.0585125450194086
day_20,1min,23280,152,7.9197,1.5909765709069337
day_21,1min,23280,152,8.9408,1.1316678962479525
day_22,1min,23280,152,4.6232,3.022090312436222
day_23,1min,23280,152,6.2276,2.409523847755141
day_24,1min,23280,152,4.8579,2.472547416337534
day_25,1min,23280,152,8.1598,1.3263612946196908
day_26,1min,23280,152,12.398,0.9011686308703921
day_27,1min,23280,152,6.3838,1.2504561119013289
day_28,1min,23280,152,2.7142,8.65214389010869
day_29,1min,23280,152,5.2766,4.184300582774928
day_30,1min,23280,152,8.8097,1.2099793828674308
day_31,1min,23280,152,4.4964,2.3518659249093714
day_32,1min,23280,152,6.848,1.3368948360125872
day_33,1min,23280,152,4.5992,1.6474176427748661
day_34,1min,23280,152,6.4648,1.7414949164059639
day_35,1min,23280,152,5.5758,2.4601174707335574
day_36,1min,23280,152,5.6508,1.9554598683389157
day_37,1min,23280,152,2.502,12.150694213298216
day_38,1min,23280,152,4.7512,1.7490009287775345
day_39,1min,23280,152,5.1378,2.4571376440898867
day_40,1min,23280,152,5.6301,4.157121677689344
day_41,1min,23280,152,5.7145,1.5713792438574012
day_42,1min,23280,152,4.5175,1.7012703932174453
day_43,1min,23280,152,5.4017,2.7676111550974962
day_44,1min,23280,152,8.8608,1.223593696650572
day_45,1min,23280,152,4.6981,2.026791025055182
day_46,1min,23280,152,6.2593,3.1162007699368486
day_47,1min,23280,152,3.9,2.333039600575294
day_48,1min,23280,152,7.22,1.0169618540849124
day_49,1min,23280,152,5.9538,3.0400048758982887
day_50,1min,23280,152,5.5984,1.7565516540880273
day_51,1min,23280,152,3.1708,12.20489735683027
day_52,1min,23280,152,7.3091,3.5097303781307385
day_53,1min,23280,152,6.5592,1.333785000069649
day_54,1min,23280,152,9.2292,3.316756755422351
day_55,1min,23280,152,5.281,1.7400998185527232
day_56,1min,23280,152,2.5554,10.866953688888021
day_57,1min,23280,152,8.8393,1.8087469624399777
day_58,1min,23280,152,7.9739,1.3428562296976176
day_59,1min,23280,152,7.9885,1.2686810611342567
day_60,1min,17220,131,3.9169,18.76977137734754
day_61,1min,17076,130,3.8942,6.364307366251452
day_62,1min,14772,121,5.4658,1.7766749623420046
day_63,1min,14916,122,3.9707,6.309694399681266
day_64,1min,14628,120,9.4807,1.1118657834342338
day_80,1min,23280,152,5.9501,0.9175977977461955
day_81,1min,23280,152,5.3832,4.789204169956513
day_82,1min,23280,152,6.0843,1.4009592761489502
day_83,1min,23280,152,9.6277,0.7522327168282072
day_84,1min,23280,152,6.7053,1.516027656857501
day_85,1min,23280,152,3.6214,10.948933005369675
