day,time,price,ret_1m,abs_ret_1m,ret_1m_pct,z_score,avg_volume_signal,volume_z_score,rank,volume_confirmed
36,01:29:12,100.592297,0.0078455,0.0078455,0.7845,6.54,5.145992,-1.98,1,False
36,01:29:13,100.579898,0.00775979,0.00775979,0.776,6.47,5.103571,-2.04,2,False
36,01:29:14,100.54747,0.00748301,0.00748301,0.7483,6.24,5.258973,-1.82,3,False
36,01:29:16,100.507411,0.0074186,0.0074186,0.7419,6.18,5.102079,-2.04,4,False
36,01:29:11,100.576083,0.00741349,0.00741349,0.7413,6.18,6.331318,-0.33,5,False
51,06:11:17,100.480597,0.00676655,0.00676655,0.6767,10.1,4.125116,-2.55,6,False
51,06:11:18,100.473451,0.00671297,0.00671297,0.6713,10.02,4.959944,-1.55,7,False
51,06:11:16,100.478811,0.00664053,0.00664053,0.6641,9.91,4.846827,-1.68,8,False
51,06:11:19,100.462731,0.00653349,0.00653349,0.6533,9.75,4.487773,-2.11,9,False
51,06:11:23,100.468091,0.00649711,0.00649711,0.6497,9.69,5.553597,-0.84,10,False
28,00:29:05,99.899159,-0.00510286,0.00510286,-0.5103,10.84,4.787104,-1.97,11,False
28,00:29:07,99.917137,-0.00488818,0.00488818,-0.4888,10.38,5.498545,-1.03,12,False
33,01:59:22,100.795899,0.00449401,0.00449401,0.4494,6.69,4.441996,-2.82,13,False
28,00:29:03,99.97287,-0.00444898,0.00444898,-0.4449,9.46,2.860675,-4.53,14,False
33,01:59:21,100.783734,0.00441627,0.00441627,0.4416,6.57,4.804926,-2.29,15,False
28,00:29:04,99.980062,-0.0043861,0.0043861,-0.4386,9.33,3.948602,-3.08,16,False
28,00:29:02,99.978264,-0.00433288,0.00433288,-0.4333,9.21,4.833995,-1.91,17,False
33,01:59:20,100.773308,0.00419062,0.00419062,0.4191,6.24,4.319808,-3.0,18,False
33,01:59:23,100.761143,0.00414765,0.00414765,0.4148,6.17,5.774594,-0.87,19,False
33,01:59:19,100.768095,0.00412128,0.00412128,0.4121,6.13,4.697608,-2.45,20,False
