feature,family,cluster_id,max_abs_corr_other,closest_partner
VB6_T1,VB6,1,0.248931,VB6_T2
VB6_T2,VB6,2,0.248931,VB6_T1
PV1_T1,PV1,3,0.557914,PV1_T2
PV1_T2,PV1,4,0.557914,PV1_T1
VB1_T2,VB1,5,0.356579,PV1_T2
VB1_T1,VB1,6,0.250454,VB1_T2
V8_T1_T2,V8,7,0.685168,V8_T1_T3
V8_T8_T10,V8,8,0.962373,V8_T8_T11
V8_T8_T11,V8,8,0.962373,V8_T8_T10
V8_T8_T12,V8,8,0.902006,V8_T9_T12
V8_T9_T10,V8,8,0.926115,V8_T9_T11
V8_T9_T11,V8,8,0.926115,V8_T9_T10
V8_T9_T12,V8,8,0.902006,V8_T8_T12
V8_T7_T10,V8,9,0.981539,V8_T7_T11
V8_T7_T11,V8,9,0.981539,V8_T7_T10
V8_T7_T12,V8,9,0.925888,V8_T7_T11
V8_T7_T8,V8,9,0.86976,V8_T7_T9
V8_T7_T9,V8,9,0.902336,V8_T7_T10
V8_T8_T9,V8,10,0.768571,V8_T8_T10
V8_T10_T12,V8,11,0.933266,V8_T11_T12
V8_T11_T12,V8,11,0.933266,V8_T10_T12
V8_T10_T11,V8,12,0.584194,V8_T9_T11
V8_T5_T7,V8,13,0.874806,V8_T5_T8
V8_T6_T7,V8,13,0.849103,V8_T5_T7
V8_T4_T10,V8,14,0.993386,V8_T4_T11
V8_T4_T11,V8,14,0.993386,V8_T4_T10
V8_T4_T12,V8,14,0.962936,V8_T4_T11
V8_T4_T7,V8,14,0.908245,V8_T4_T8
V8_T4_T8,V8,14,0.966902,V8_T4_T9
V8_T4_T9,V8,14,0.966902,V8_T4_T8
V8_T5_T10,V8,14,0.991796,V8_T5_T11
V8_T5_T11,V8,14,0.991796,V8_T5_T10
V8_T5_T12,V8,14,0.956946,V8_T5_T11
V8_T5_T8,V8,14,0.957293,V8_T5_T9
V8_T5_T9,V8,14,0.957422,V8_T5_T10
V8_T6_T10,V8,14,0.990302,V8_T6_T11
V8_T6_T11,V8,14,0.990302,V8_T6_T10
V8_T6_T12,V8,14,0.951623,V8_T6_T11
V8_T6_T8,V8,14,0.947455,V8_T6_T9
V8_T6_T9,V8,14,0.949621,V8_T6_T10
V8_T3_T10,V8,15,0.995245,V8_T3_T11
V8_T3_T11,V8,15,0.995245,V8_T3_T10
V8_T3_T12,V8,15,0.970544,V8_T3_T11
V8_T3_T7,V8,15,0.939477,V8_T3_T8
V8_T3_T8,V8,15,0.977041,V8_T3_T9
V8_T3_T9,V8,15,0.977041,V8_T3_T8
V8_T3_T4,V8,16,0.857299,V8_T3_T5
V8_T3_T5,V8,16,0.937352,V8_T3_T6
V8_T3_T6,V8,16,0.937352,V8_T3_T5
V8_T4_T5,V8,17,0.827935,V8_T4_T6
V8_T4_T6,V8,17,0.827935,V8_T4_T5
V8_T5_T6,V8,18,0.636899,V8_T4_T6
V2_T1,V2,19,0.658482,V2_T2
V2_T2,V2,20,0.658482,V2_T1
V8_T1_T10,V8,21,0.997419,V8_T1_T11
V8_T1_T11,V8,21,0.997419,V8_T1_T10
V8_T1_T12,V8,21,0.98117,V8_T1_T11
V8_T1_T3,V8,21,0.903868,V8_T1_T4
V8_T1_T4,V8,21,0.964216,V8_T1_T5
V8_T1_T5,V8,21,0.981016,V8_T1_T6
V8_T1_T6,V8,21,0.981016,V8_T1_T5
V8_T1_T7,V8,21,0.968358,V8_T1_T8
V8_T1_T8,V8,21,0.987452,V8_T1_T9
V8_T1_T9,V8,21,0.987452,V8_T1_T8
V8_T2_T10,V8,22,0.996876,V8_T2_T11
V8_T2_T11,V8,22,0.996876,V8_T2_T10
V8_T2_T12,V8,22,0.978253,V8_T2_T11
V8_T2_T3,V8,22,0.84935,V8_T2_T4
V8_T2_T4,V8,22,0.947902,V8_T2_T5
V8_T2_T5,V8,22,0.973376,V8_T2_T6
V8_T2_T6,V8,22,0.973376,V8_T2_T5
V8_T2_T7,V8,22,0.961902,V8_T2_T8
V8_T2_T8,V8,22,0.984992,V8_T2_T9
V8_T2_T9,V8,22,0.984992,V8_T2_T8
PV1_T5,PV1,23,0.764216,PV1_T6
PV1_T6,PV1,23,0.764216,PV1_T5
PV1_T4,PV1,24,0.691481,PV1_T5
PV1_T3,PV1,25,0.562091,PV1_T4
