day,n_rows,entropy_effective_rank,participation_ratio,k_for_95pct_variance,kaiser_count_lambda_gt_1,pc1_explained_var
1,10718,18.6415,7.7668,47,47,0.299846
2,12450,19.644,8.5933,45,48,0.275047
3,11997,18.4842,8.229,46,48,0.268225
4,12385,18.0529,8.0543,44,47,0.275226
5,12470,18.7538,8.2878,44,48,0.274069
6,12488,18.1993,8.2308,42,46,0.272157
7,12213,17.9512,7.3618,45,48,0.31222
8,12223,19.5944,9.0032,44,47,0.252519
9,11360,22.2366,9.411,53,52,0.258783
10,12094,18.8084,9.0634,43,46,0.238563
11,12531,17.8588,7.8837,43,46,0.282935
12,12365,17.1268,7.9018,41,44,0.269838
13,12259,19.3465,8.5579,46,48,0.266505
14,12088,14.6529,6.003,39,42,0.358617
15,12284,18.4537,8.0929,44,47,0.280321
16,12240,20.5056,9.026,48,49,0.257832
17,12504,18.1961,8.5197,41,46,0.248216
18,12372,19.8594,9.3941,45,47,0.224721
19,12167,18.1828,7.6538,45,45,0.301434
20,12353,17.7482,7.609,43,47,0.297441
21,12442,15.611,6.6131,40,43,0.330701
22,12451,16.079,6.9458,40,44,0.317289
23,12347,18.6029,8.4734,44,47,0.261392
24,11494,17.9295,7.5896,44,47,0.298814
25,11359,17.1637,7.4969,45,46,0.292839
26,12362,19.8091,8.4595,47,48,0.279245
27,11644,20.2208,8.8589,48,49,0.267173
28,12407,19.8562,8.7219,47,48,0.261805
29,11069,18.2909,7.7902,45,46,0.295885
30,12144,18.5581,8.5848,42,46,0.263042
31,12429,18.3974,9.0007,41,45,0.219364
32,12254,20.8601,9.4042,47,47,0.251938
33,12520,19.5233,9.2248,42,45,0.243594
34,11917,18.4294,8.1308,45,47,0.277044
35,12432,20.2236,9.2622,46,48,0.239152
36,12418,18.6022,8.8263,43,44,0.238235
37,12317,19.2289,8.688,45,46,0.262798
38,12419,16.9181,6.8538,42,45,0.333944
39,12512,19.6377,9.0333,43,44,0.258502
40,12398,16.8575,7.5389,40,44,0.289926
41,12323,18.8292,8.1932,44,46,0.278896
42,10975,17.7458,7.2418,46,48,0.315095
43,11302,19.0225,8.3176,47,48,0.271664
44,12501,17.0851,7.4968,41,46,0.294979
45,12278,17.5027,7.3465,43,46,0.309353
46,11316,17.9204,7.712,45,47,0.294247
47,12215,18.7508,7.9303,45,48,0.294872
48,12026,20.4072,9.3849,49,49,0.235432
49,12498,15.3454,6.6859,37,41,0.32538
50,12314,17.6279,7.8143,41,45,0.291815
51,12245,19.0976,8.811,43,45,0.261566
52,12019,18.0601,8.0158,45,46,0.275232
53,12287,18.2775,8.1473,44,47,0.272899
54,12193,18.0252,8.1711,43,45,0.263243
55,12464,17.4598,7.959,41,44,0.275905
56,11846,20.0916,9.546,47,48,0.219411
57,11960,17.6242,8.0821,42,46,0.273677
58,12439,19.3856,8.3242,46,48,0.281871
59,12324,16.653,7.1325,42,45,0.309194
80,10708,20.2921,9.107,48,48,0.251154
81,11809,17.3932,8.0486,43,45,0.263979
82,11860,19.3837,8.9422,46,47,0.245712
83,12242,18.9883,8.5324,46,46,0.262025
84,12448,17.2486,7.5552,43,45,0.292916
85,12201,15.83,6.6278,39,42,0.333801
