pc,eigenvalue,explained_var,cumulative_var,above_kaiser_1,above_mp_noise_floor
1,183.454215,0.265491,0.265491,True,True
2,86.813241,0.125634,0.391125,True,True
3,64.602895,0.093492,0.484617,True,True
4,48.476737,0.070154,0.554771,True,True
5,38.490029,0.055702,0.610473,True,True
6,25.945406,0.037548,0.648021,True,True
7,24.414785,0.035333,0.683354,True,True
8,18.357674,0.026567,0.70992,True,True
9,12.746936,0.018447,0.728367,True,True
10,12.463638,0.018037,0.746405,True,True
11,10.514498,0.015216,0.761621,True,True
12,8.708876,0.012603,0.774224,True,True
13,8.074696,0.011686,0.78591,True,True
14,7.411195,0.010725,0.796635,True,True
15,6.734903,0.009747,0.806382,True,True
16,6.509157,0.00942,0.815802,True,True
17,6.103948,0.008833,0.824635,True,True
18,5.014868,0.007257,0.831892,True,True
19,4.884666,0.007069,0.838961,True,True
20,4.869748,0.007047,0.846009,True,True
21,4.568134,0.006611,0.85262,True,True
22,4.280338,0.006194,0.858814,True,True
23,3.598124,0.005207,0.864021,True,True
24,3.40134,0.004922,0.868944,True,True
25,3.327156,0.004815,0.873759,True,True
26,3.074003,0.004449,0.878207,True,True
27,2.835472,0.004103,0.882311,True,True
28,2.75529,0.003987,0.886298,True,True
29,2.667861,0.003861,0.890159,True,True
30,2.517848,0.003644,0.893803,True,True
31,2.411348,0.00349,0.897292,True,True
32,2.316471,0.003352,0.900645,True,True
33,2.243605,0.003247,0.903892,True,True
34,2.233784,0.003233,0.907124,True,True
35,1.993944,0.002886,0.91001,True,True
36,1.836705,0.002658,0.912668,True,True
37,1.801275,0.002607,0.915275,True,True
38,1.60347,0.002321,0.917595,True,True
39,1.596057,0.00231,0.919905,True,True
40,1.53612,0.002223,0.922128,True,True
41,1.445161,0.002091,0.924219,True,True
42,1.426586,0.002065,0.926284,True,True
43,1.362807,0.001972,0.928256,True,True
44,1.309684,0.001895,0.930152,True,True
45,1.293251,0.001872,0.932023,True,True
46,1.231822,0.001783,0.933806,True,True
47,1.212552,0.001755,0.935561,True,True
48,1.194875,0.001729,0.93729,True,True
49,1.155882,0.001673,0.938962,True,False
50,1.101642,0.001594,0.940557,True,False
51,1.086383,0.001572,0.942129,True,False
52,1.067652,0.001545,0.943674,True,False
53,0.962557,0.001393,0.945067,False,False
54,0.958354,0.001387,0.946454,False,False
55,0.921467,0.001334,0.947787,False,False
56,0.904706,0.001309,0.949097,False,False
57,0.884464,0.00128,0.950377,False,False
58,0.856851,0.00124,0.951617,False,False
59,0.81357,0.001177,0.952794,False,False
60,0.806301,0.001167,0.953961,False,False
61,0.761033,0.001101,0.955062,False,False
62,0.75321,0.00109,0.956152,False,False
