feature,family,PC1,PC2,PC3,PC4,PC5,PC6,communality_top1,communality_top2,communality_top3,communality_top4,communality_top5,communality_top6
PB1_T1,PB1,-0.002351,0.040067,-0.009356,-0.019553,0.077788,-0.016654,0.001014,0.14038,0.146036,0.164569,0.397474,0.40467
PB1_T2,PB1,-0.003168,0.050162,-0.011788,-0.02222,0.083682,-0.015535,0.001841,0.22028,0.229258,0.253192,0.522725,0.528987
PB1_T3,PB1,-0.005037,0.065648,-0.014696,-0.022977,0.07142,-0.007431,0.004654,0.378786,0.392739,0.418332,0.614661,0.616094
PB1_T4,PB1,-0.006694,0.072958,-0.015454,-0.020258,0.047958,0.000102,0.00822,0.470322,0.485751,0.505644,0.594171,0.594171
PB1_T5,PB1,-0.007853,0.075187,-0.015046,-0.017093,0.028003,0.004962,0.011313,0.502075,0.516701,0.530865,0.561048,0.561687
PB1_T6,PB1,-0.008755,0.075154,-0.014104,-0.013968,0.011103,0.007973,0.014063,0.504391,0.517242,0.526701,0.531445,0.533095
PB1_T7,PB1,-0.012619,0.073129,-0.011312,-0.005129,-0.040129,0.012446,0.029213,0.493483,0.501749,0.503025,0.565006,0.569025
PB1_T8,PB1,-0.01676,0.06807,-0.008109,0.001501,-0.071852,0.010192,0.051533,0.453789,0.458037,0.458147,0.65686,0.659555
PB1_T9,PB1,-0.019938,0.064111,-0.006235,0.00458,-0.081795,0.007383,0.072929,0.429746,0.432257,0.433274,0.690787,0.692201
PB1_T10,PB1,-0.024662,0.056172,-0.001926,0.01065,-0.084151,0.001417,0.111582,0.385508,0.385747,0.391246,0.663812,0.663864
PB1_T11,PB1,-0.026434,0.052694,-0.00059,0.012381,-0.081554,0.000696,0.128193,0.369245,0.369268,0.376698,0.632699,0.632712
PB1_T12,PB1,-0.035289,0.035534,0.003261,0.014457,-0.059731,-0.000121,0.228464,0.338079,0.338766,0.348898,0.48622,0.48622
PB2_T1,PB2,-0.000191,0.006975,-0.001523,-0.005618,0.026912,-0.008106,7e-06,0.00423,0.00438,0.00591,0.033788,0.035492
PB2_T2,PB2,-0.000255,0.011546,-0.003038,-0.008642,0.041373,-0.011484,1.2e-05,0.011585,0.012182,0.015803,0.081688,0.08511
PB2_T3,PB2,-0.000401,0.019628,-0.005296,-0.012181,0.052981,-0.01055,2.9e-05,0.033476,0.035288,0.042481,0.150522,0.15341
PB2_T4,PB2,-0.000742,0.028208,-0.007717,-0.014658,0.056472,-0.00778,0.000101,0.069176,0.073023,0.083438,0.206188,0.207758
PB2_T5,PB2,-0.000941,0.032921,-0.008872,-0.014974,0.052132,-0.003271,0.000162,0.094251,0.099337,0.110207,0.214812,0.21509
PB2_T6,PB2,-0.000918,0.033094,-0.008307,-0.012919,0.044044,-0.000188,0.000154,0.095235,0.099693,0.107785,0.182452,0.182453
PB2_T7,PB2,-0.001185,0.03545,-0.007841,-0.008576,0.014334,0.007399,0.000258,0.109354,0.113326,0.116891,0.124799,0.12622
PB2_T8,PB2,-0.001719,0.037717,-0.00772,-0.005798,-0.019526,0.010624,0.000542,0.124043,0.127893,0.129522,0.144197,0.147126
PB2_T9,PB2,-0.002178,0.038508,-0.00804,-0.005366,-0.035309,0.009234,0.00087,0.129605,0.133781,0.135177,0.183165,0.185377
PB2_T10,PB2,-0.001843,0.038204,-0.004735,0.001082,-0.052227,0.000994,0.000623,0.127333,0.128782,0.128838,0.233827,0.233853
PB2_T11,PB2,-0.001092,0.038272,-0.004121,0.003113,-0.054242,0.001376,0.000219,0.127381,0.128478,0.128948,0.242194,0.242243
PB2_T12,PB2,-0.00307,0.033791,3.6e-05,0.012964,-0.053192,0.00195,0.001729,0.100855,0.100855,0.109002,0.217904,0.218003
PB3_T1,PB3,-0.003285,0.050208,-0.011627,-0.021421,0.092051,-0.016689,0.00198,0.220823,0.229556,0.2518,0.577942,0.585168
PB3_T2,PB3,-0.004475,0.063358,-0.014179,-0.023907,0.097005,-0.014633,0.003674,0.352159,0.365147,0.392853,0.755042,0.760597
PB3_T3,PB3,-0.006881,0.081949,-0.016678,-0.022984,0.079642,-0.005203,0.008686,0.591691,0.60966,0.635269,0.879404,0.880107
PB3_T4,PB3,-0.008788,0.089739,-0.016464,-0.018316,0.050927,0.00273,0.014168,0.713278,0.730789,0.747053,0.846879,0.847072
PB3_T5,PB3,-0.010108,0.092415,-0.015625,-0.014229,0.029162,0.007029,0.018745,0.760184,0.775955,0.78577,0.818504,0.819785
PB3_T6,PB3,-0.01117,0.093495,-0.014746,-0.010873,0.012462,0.009622,0.022888,0.781743,0.79579,0.801521,0.807499,0.809901
PB3_T7,PB3,-0.015514,0.092266,-0.010447,0.001457,-0.0397,0.013758,0.044157,0.783203,0.790254,0.790357,0.85102,0.85593
PB3_T8,PB3,-0.020108,0.085759,-0.005662,0.011516,-0.067743,0.012255,0.074177,0.712655,0.714726,0.721155,0.89779,0.901686
PB3_T9,PB3,-0.023501,0.079386,-0.002407,0.017121,-0.075826,0.010393,0.101324,0.648433,0.648807,0.663017,0.884321,0.887123
PB3_T10,PB3,-0.028862,0.068891,0.001869,0.02319,-0.076373,0.008117,0.152819,0.564835,0.565061,0.59113,0.815639,0.817348
PB3_T11,PB3,-0.031109,0.064243,0.00337,0.024734,-0.073754,0.007339,0.177546,0.535835,0.536569,0.566227,0.775598,0.776995
PB3_T12,PB3,-0.012772,0.011863,0.001901,0.004638,-0.015125,-0.000634,0.029926,0.042142,0.042376,0.043418,0.052223,0.052234
PB4_T1,PB4,-0.002351,0.040067,-0.009356,-0.019553,0.077788,-0.016654,0.001014,0.14038,0.146036,0.164569,0.397474,0.40467
PB4_T2,PB4,-0.003168,0.050162,-0.011788,-0.02222,0.083682,-0.015535,0.001841,0.22028,0.229258,0.253192,0.522725,0.528987
PB4_T3,PB4,-0.005037,0.065648,-0.014696,-0.022977,0.07142,-0.007431,0.004654,0.378786,0.392739,0.418332,0.614661,0.616094
PB4_T4,PB4,-0.006694,0.072958,-0.015454,-0.020258,0.047958,0.000102,0.00822,0.470322,0.485751,0.505644,0.594171,0.594171
PB4_T5,PB4,-0.007853,0.075187,-0.015046,-0.017093,0.028003,0.004962,0.011313,0.502075,0.516701,0.530865,0.561048,0.561687
PB4_T6,PB4,-0.008755,0.075154,-0.014104,-0.013968,0.011103,0.007973,0.014063,0.504391,0.517242,0.526701,0.531445,0.533095
PB4_T7,PB4,-0.012619,0.073129,-0.011312,-0.005129,-0.040129,0.012446,0.029213,0.493483,0.501749,0.503025,0.565006,0.569025
PB4_T8,PB4,-0.01676,0.06807,-0.008109,0.001501,-0.071852,0.010192,0.051533,0.453789,0.458037,0.458147,0.65686,0.659555
PB4_T9,PB4,-0.019938,0.064111,-0.006235,0.00458,-0.081795,0.007383,0.072929,0.429746,0.432257,0.433274,0.690787,0.692201
PB4_T10,PB4,-0.024662,0.056172,-0.001926,0.01065,-0.084151,0.001417,0.111582,0.385508,0.385747,0.391246,0.663812,0.663864
PB4_T11,PB4,-0.026434,0.052694,-0.00059,0.012381,-0.081554,0.000696,0.128193,0.369245,0.369268,0.376698,0.632699,0.632712
PB4_T12,PB4,-0.035289,0.035534,0.003261,0.014457,-0.059731,-0.000121,0.228464,0.338079,0.338766,0.348898,0.48622,0.48622
PB5_T1,PB5,-0.002352,0.040063,-0.009369,-0.01957,0.077783,-0.016651,0.001014,0.140357,0.146028,0.164594,0.397464,0.404658
PB5_T2,PB5,-0.003169,0.050157,-0.011805,-0.022244,0.083674,-0.01553,0.001842,0.220242,0.229245,0.253231,0.522714,0.528972
PB5_T3,PB5,-0.005039,0.06564,-0.014723,-0.02302,0.071406,-0.007419,0.004657,0.378699,0.392702,0.418391,0.614645,0.616073
PB5_T4,PB5,-0.006696,0.072945,-0.015492,-0.020325,0.047934,0.000123,0.008227,0.470152,0.485656,0.505682,0.59412,0.594121
PB5_T5,PB5,-0.007856,0.075167,-0.015092,-0.017178,0.027973,0.004991,0.011321,0.501827,0.516541,0.530845,0.560963,0.561609
PB5_T6,PB5,-0.008758,0.07513,-0.014155,-0.014065,0.011069,0.008007,0.01407,0.504086,0.51703,0.526619,0.531335,0.532998
PB5_T7,PB5,-0.012617,0.073099,-0.011389,-0.005286,-0.040173,0.012492,0.029206,0.493091,0.501471,0.502825,0.564944,0.568993
PB5_T8,PB5,-0.016755,0.068024,-0.00821,0.001282,-0.071902,0.010239,0.051499,0.45321,0.457564,0.457644,0.656634,0.659354
PB5_T9,PB5,-0.019933,0.064058,-0.006345,0.004335,-0.081849,0.007413,0.072894,0.429127,0.431727,0.432638,0.690493,0.691919
PB5_T10,PB5,-0.024657,0.056125,-0.002047,0.010375,-0.084222,0.001413,0.111538,0.384998,0.385268,0.390486,0.66351,0.663561
PB5_T11,PB5,-0.026426,0.052653,-0.000715,0.012097,-0.081633,0.00068,0.128114,0.368792,0.368825,0.375919,0.632417,0.632429
PB5_T12,PB5,-0.035261,0.035505,0.003098,0.014103,-0.059862,-0.000202,0.228096,0.337533,0.338153,0.347795,0.485724,0.485725
PB6_T1,PB6,-0.003586,0.053606,-0.012602,-0.022663,0.082678,-0.014216,0.002359,0.251827,0.262086,0.286983,0.550087,0.555331
PB6_T2,PB6,-0.004781,0.061209,-0.013848,-0.021086,0.064456,-0.005827,0.004194,0.329445,0.341832,0.363385,0.523297,0.524178
PB6_T3,PB6,-0.007449,0.067551,-0.013288,-0.013503,0.013077,0.008526,0.010179,0.406323,0.41773,0.426569,0.433151,0.435037
PB6_T4,PB6,-0.00971,0.064075,-0.010378,-0.004774,-0.031514,0.015066,0.017296,0.373713,0.380671,0.381776,0.420002,0.425891
PB6_T5,PB6,-0.011376,0.060114,-0.008222,0.000217,-0.056533,0.016252,0.023741,0.337454,0.341821,0.341823,0.464836,0.471689
PB6_T6,PB6,-0.012781,0.057262,-0.006873,0.00304,-0.071517,0.015802,0.029968,0.314628,0.317679,0.318127,0.51499,0.521469
PB6_T7,PB6,-0.018703,0.046595,-0.002491,0.009872,-0.098254,0.007971,0.064171,0.252652,0.253053,0.257777,0.629353,0.631001
PB6_T8,PB6,-0.024962,0.034069,0.002436,0.015131,-0.089571,-0.001085,0.114308,0.215069,0.215452,0.226551,0.535351,0.535382
PB6_T9,PB6,-0.029483,0.024788,0.005146,0.016966,-0.071842,-0.003815,0.159468,0.21281,0.21452,0.228474,0.427134,0.427511
PB6_T10,PB6,-0.036199,0.011517,0.006829,0.014723,-0.042542,-0.003753,0.240388,0.251902,0.254914,0.265422,0.335083,0.335449
PB6_T11,PB6,-0.038829,0.006571,0.00688,0.012476,-0.031905,-0.003422,0.276585,0.280333,0.283391,0.290936,0.330117,0.330421
PB6_T12,PB6,-0.050236,-0.01035,0.005509,0.00077,0.002138,-0.004284,0.46298,0.47228,0.474241,0.47427,0.474445,0.474922
PB7_T1,PB7,-0.001804,0.030289,-0.007241,-0.014535,0.06654,-0.013826,0.000597,0.08024,0.083627,0.093868,0.264287,0.269247
PB7_T2,PB7,-0.002535,0.042557,-0.010014,-0.019251,0.084964,-0.016643,0.001179,0.158404,0.164882,0.182848,0.460702,0.467889
PB7_T3,PB7,-0.00407,0.062214,-0.013961,-0.023612,0.094862,-0.014008,0.003039,0.339056,0.351647,0.378675,0.725035,0.730126
PB7_T4,PB7,-0.005456,0.07408,-0.015607,-0.02347,0.087464,-0.008787,0.00546,0.481874,0.49761,0.524314,0.818762,0.820765
PB7_T5,PB7,-0.006384,0.080045,-0.015995,-0.021927,0.076559,-0.004244,0.007478,0.563707,0.580236,0.603544,0.829143,0.82961
PB7_T6,PB7,-0.007116,0.083353,-0.015899,-0.019963,0.065301,-0.000838,0.00929,0.612447,0.628777,0.648097,0.812225,0.812243
PB7_T7,PB7,-0.009746,0.088831,-0.014198,-0.011218,0.016047,0.009061,0.017426,0.702462,0.715484,0.721585,0.731496,0.733626
PB7_T8,PB7,-0.012174,0.089456,-0.011373,-0.002054,-0.024463,0.014023,0.02719,0.721894,0.73025,0.730455,0.753488,0.75859
PB7_T9,PB7,-0.013992,0.088227,-0.009253,0.003693,-0.045356,0.01493,0.035917,0.71167,0.7172,0.717862,0.797043,0.802826
PB7_T10,PB7,-0.017063,0.083601,-0.005591,0.011424,-0.06543,0.014774,0.053413,0.660167,0.662187,0.668514,0.833292,0.838955
PB7_T11,PB7,-0.01853,0.081243,-0.004128,0.013881,-0.070301,0.013807,0.06299,0.635993,0.637094,0.646433,0.83666,0.841606
PB7_T12,PB7,-0.025268,0.068203,0.000377,0.020636,-0.075209,0.010631,0.117131,0.52095,0.520959,0.541602,0.759318,0.762251
PB8_T1,PB8,-0.002042,0.030649,0.000507,-0.008383,0.064592,-0.0136,0.000765,0.082312,0.082329,0.085735,0.24632,0.251119
PB8_T2,PB8,-0.002714,0.042496,-0.005071,-0.014445,0.08341,-0.016405,0.001351,0.158132,0.159792,0.169908,0.43769,0.444672
PB8_T3,PB8,-0.004236,0.061793,-0.01141,-0.02024,0.092804,-0.013741,0.003292,0.334774,0.343184,0.363042,0.694541,0.69944
PB8_T4,PB8,-0.005643,0.073458,-0.013916,-0.020947,0.085075,-0.008322,0.005841,0.474291,0.486802,0.508072,0.786654,0.788451
PB8_T5,PB8,-0.006634,0.079274,-0.014682,-0.019697,0.074175,-0.003721,0.008073,0.553642,0.567568,0.586375,0.798147,0.798507
PB8_T6,PB8,-0.007384,0.082506,-0.014745,-0.017928,0.063012,-0.000271,0.010002,0.600965,0.61501,0.630592,0.783417,0.783419
PB8_T7,PB8,-0.009932,0.087407,-0.013292,-0.009253,0.013984,0.009526,0.018096,0.681351,0.692764,0.696915,0.704441,0.706796
PB8_T8,PB8,-0.012125,0.087676,-0.010641,-0.000735,-0.025871,0.013909,0.026969,0.694306,0.701621,0.701647,0.727408,0.732427
PB8_T9,PB8,-0.013772,0.086358,-0.008553,0.004817,-0.046145,0.014707,0.034795,0.682226,0.686952,0.688077,0.770036,0.775648
PB8_T10,PB8,-0.016795,0.081863,-0.004877,0.012356,-0.065324,0.014048,0.051744,0.633521,0.635058,0.642459,0.806704,0.811824
PB8_T11,PB8,-0.018198,0.079568,-0.003465,0.014791,-0.069767,0.013457,0.060754,0.610372,0.611148,0.621754,0.809102,0.813801
PB8_T12,PB8,-0.024685,0.066824,0.001492,0.022281,-0.072812,0.011149,0.111789,0.499446,0.49959,0.523655,0.727712,0.730937
PB9_T1,PB9,-0.0734,-0.007764,0.003578,-0.003313,0.004994,0.004541,0.988377,0.99361,0.994437,0.994969,0.995929,0.996464
PB9_T2,PB9,-0.0734,-0.007764,0.003578,-0.003313,0.004994,0.004541,0.988377,0.99361,0.994437,0.994969,0.995929,0.996464
