metric,value
n_features,691.0
kaiser_count_lambda_gt_1,52.0
participation_ratio,9.215181493028282
entropy_effective_rank,22.379690052302106
stable_rank,3.7666073758656737
lambda_max,183.45421517186924
lambda_min,0.0
condition_number,26151575853197.656
numerical_rank_tol_1e-10,454.0
k_for_90pct_variance,32.0
k_for_95pct_variance,57.0
k_for_99pct_variance,128.0
mp_upper_edge,1.1768387084822032
n_signal_eigenvalues_above_mp,48.0
n_clusters_at_abs_corr_0.70,90.0
mean_lag1_autocorr,0.788288
n_rows_raw,811249.0
n_rows_effective,96042.03
q_ratio_p_over_t_eff,0.007195
mean_abs_offdiag_corr,0.17294
max_vif,663235165230.4673
n_features_r2_above_0.99,401.0
daily_entropy_rank_mean,18.4176
daily_entropy_rank_std,1.3864
daily_entropy_rank_min,14.6529
daily_entropy_rank_max,22.2366
