feature,family,vif,r2_vs_all_others
BB1_T1,BB1,478089636966.6016,1.0
PV3_B5_T11,PV3,274071476284.2738,1.0
BB13_T5,BB13,36760297568.3511,1.0
PV3_B6_T8,PV3,272540649226.5536,1.0
PV3_B6_T5,PV3,266865739976.3408,1.0
BB13_T2,BB13,3879079787.0169,1.0
PV3_B6_T4,PV3,34665340742.4084,1.0
BB8_T11,BB8,61701208115.4065,1.0
BB9_T1,BB9,9873646.5743,1.0
BB12_T2,BB12,160603602.54,1.0
PV3_B5_T12,PV3,72297103067.7905,1.0
BB12_T11,BB12,7054169.681,1.0
BB12_T10,BB12,8482236.7078,1.0
BB12_T9,BB12,6797626.4539,1.0
BB12_T8,BB12,8311941.1898,1.0
BB12_T7,BB12,9469274.1105,1.0
PV3_B5_T10,PV3,25709141064.7473,1.0
BB13_T7,BB13,42392389916.798,1.0
PV3_B1_T1,PV3,227280296721.5316,1.0
BB12_T1,BB12,258870855.6549,1.0
BB9_T2,BB9,128508712.6492,1.0
BB9_T3,BB9,174511375.035,1.0
BB9_T4,BB9,104021704.644,1.0
PV3_B5_T5,PV3,194696636849.2248,1.0
BB9_T6,BB9,22197642.6752,1.0
PV3_B5_T3,PV3,336216722355.1942,1.0
PV3_B5_T1,PV3,68313424052.5609,1.0
BB9_T8,BB9,582358251.7828,1.0
BB9_T9,BB9,3737464424.7208,1.0
PV3_B4_T10,PV3,48578944906.0201,1.0
BB9_T10,BB9,5966254225.0207,1.0
BB9_T11,BB9,7394498843.7189,1.0
BB8_T8,BB8,441638629852.5666,1.0
PV3_B6_T11,PV3,72347364174.5,1.0
BB7_T9,BB7,276800999242.9643,1.0
PB13_T8,PB13,205329104.4376,1.0
PB12_T6,PB12,942453642.6721,1.0
PB12_T7,PB12,1820473646.3268,1.0
BB13_T11,BB13,176559051001.0997,1.0
BB13_T10,BB13,81476722993.5496,1.0
PB12_T10,PB12,10724975721.9595,1.0
PB12_T11,PB12,21850081423.5131,1.0
BB1_T2,BB1,102963916825.1278,1.0
PB13_T1,PB13,39985174.1244,1.0
PB13_T2,PB13,59382052.284,1.0
PB13_T3,PB13,80504598.2935,1.0
PB13_T4,PB13,138842123.9306,1.0
PB13_T5,PB13,234829954.8052,1.0
PB13_T6,PB13,194569454.3999,1.0
PB13_T7,PB13,133499991.775,1.0
PB13_T9,PB13,222788405.0487,1.0
BB8_T5,BB8,232886103882.7866,1.0
PB13_T10,PB13,383655406.7318,1.0
PB13_T11,PB13,319454125.7143,1.0
PB13_T12,PB13,41479781.2008,1.0
BB11_T8,BB11,8435751.1918,1.0
BB7_T10,BB7,142198114440.4046,1.0
BB7_T12,BB7,25363538767.5436,1.0
BB8_T1,BB8,52431414219.5763,1.0
BB8_T2,BB8,52449136834.8973,1.0
PV3_B7_T7,PV3,208718060590.3754,1.0
PV3_B7_T6,PV3,23154186207.4402,1.0
BB8_T3,BB8,82290187823.9236,1.0
PV3_B7_T4,PV3,115206024606.3748,1.0
