masked_col,family,best_formula,best_window,best_r,runner_up_formula,runner_up_r,verdict,price_derived
PB1_T1,PB1,logret_avg,5,1.0,pct_momentum__5,1.0,EXACT MATCH,YES
PB1_T2,PB1,logret_avg,10,1.0,pct_momentum__10,1.0,EXACT MATCH,YES
PB1_T3,PB1,logret_avg,30,1.0,pct_momentum__30,1.0,EXACT MATCH,YES
PB1_T4,PB1,logret_avg,60,1.0,pct_momentum__60,1.0,EXACT MATCH,YES
PB1_T5,PB1,sma_pct_dev,120,0.938,sma_dev__120,0.938,STRONG MATCH,YES
PB1_T6,PB1,logret_avg,120,1.0,pct_momentum__120,1.0,EXACT MATCH,YES
PB1_T7,PB1,logret_avg,300,1.0,pct_momentum__300,1.0,EXACT MATCH,YES
PB1_T8,PB1,logret_avg,600,1.0,pct_momentum__600,1.0,EXACT MATCH,YES
PB1_T9,PB1,sma_dev,1200,0.935,sma_pct_dev__1200,0.935,STRONG MATCH,YES
PB1_T10,PB1,sma_pct_dev,1800,0.9191,sma_dev__1800,0.9191,STRONG MATCH,YES
PB1_T11,PB1,logret_avg,1800,1.0,pct_momentum__1800,1.0,EXACT MATCH,YES
PB1_T12,PB1,logret_avg,3600,1.0,pct_momentum__3600,1.0,EXACT MATCH,YES
PB2_T1,PB2,logret_avg,5,0.7104,pct_momentum__5,0.7104,STRONG MATCH,YES
PB2_T2,PB2,pct_momentum,10,0.7059,logret_avg__10,0.7059,STRONG MATCH,YES
PB2_T3,PB2,logret_avg,30,0.6991,pct_momentum__30,0.6991,WEAK,NO
PB2_T4,PB2,logret_avg,60,0.7058,pct_momentum__60,0.7058,STRONG MATCH,YES
PB2_T5,PB2,sma_dev,120,0.6221,sma_pct_dev__120,0.622,WEAK,NO
PB2_T6,PB2,logret_avg,120,0.7042,pct_momentum__120,0.7042,STRONG MATCH,YES
PB2_T7,PB2,logret_avg,300,0.7079,pct_momentum__300,0.7079,STRONG MATCH,YES
PB2_T8,PB2,pct_momentum,600,0.7209,logret_avg__600,0.7209,STRONG MATCH,YES
PB2_T9,PB2,sma_dev,1200,0.622,sma_pct_dev__1200,0.6218,WEAK,NO
PB2_T10,PB2,pct_momentum,1200,0.6144,logret_avg__1200,0.6143,WEAK,NO
PB2_T11,PB2,pct_momentum,1800,0.6841,logret_avg__1800,0.684,WEAK,NO
PB2_T12,PB2,pct_momentum,3600,0.6872,logret_avg__3600,0.687,WEAK,NO
PB3_T1,PB3,z_norm,10,0.9302,stochastic__10,0.9142,STRONG MATCH,YES
PB3_T2,PB3,z_norm,30,0.9373,stochastic__30,0.9073,STRONG MATCH,YES
PB3_T3,PB3,z_norm,60,0.9277,z_norm__120,0.9207,STRONG MATCH,YES
PB3_T4,PB3,z_norm,120,0.9284,stochastic__120,0.9136,STRONG MATCH,YES
PB3_T5,PB3,z_norm,300,0.9369,stochastic__300,0.8965,STRONG MATCH,YES
PB3_T6,PB3,z_norm,300,0.9413,stochastic__300,0.9144,STRONG MATCH,YES
PB3_T7,PB3,z_norm,600,0.9298,z_norm__1200,0.9255,STRONG MATCH,YES
PB3_T8,PB3,z_norm,1800,0.941,z_norm__1200,0.929,STRONG MATCH,YES
PB3_T9,PB3,z_norm,1800,0.9253,z_norm__3600,0.9249,STRONG MATCH,YES
PB3_T10,PB3,z_norm,3600,0.9327,stochastic__3600,0.9025,STRONG MATCH,YES
PB3_T11,PB3,z_norm,3600,0.9119,stochastic__3600,0.8903,STRONG MATCH,YES
PB3_T12,PB3,sma_pct_dev,3600,0.2165,sma_dev__3600,0.2165,NO MATCH,NO
PB4_T1,PB4,logret_avg,5,1.0,pct_momentum__5,1.0,EXACT MATCH,YES
PB4_T2,PB4,logret_avg,10,1.0,pct_momentum__10,1.0,EXACT MATCH,YES
PB4_T3,PB4,logret_avg,30,1.0,pct_momentum__30,1.0,EXACT MATCH,YES
PB4_T4,PB4,logret_avg,60,1.0,pct_momentum__60,1.0,EXACT MATCH,YES
PB4_T5,PB4,sma_pct_dev,120,0.938,sma_dev__120,0.938,STRONG MATCH,YES
PB4_T6,PB4,logret_avg,120,1.0,pct_momentum__120,1.0,EXACT MATCH,YES
PB4_T7,PB4,logret_avg,300,1.0,pct_momentum__300,1.0,EXACT MATCH,YES
PB4_T8,PB4,logret_avg,600,1.0,pct_momentum__600,1.0,EXACT MATCH,YES
PB4_T9,PB4,sma_dev,1200,0.935,sma_pct_dev__1200,0.935,STRONG MATCH,YES
PB4_T10,PB4,sma_pct_dev,1800,0.9191,sma_dev__1800,0.9191,STRONG MATCH,YES
PB4_T11,PB4,logret_avg,1800,1.0,pct_momentum__1800,1.0,EXACT MATCH,YES
PB4_T12,PB4,logret_avg,3600,1.0,pct_momentum__3600,1.0,EXACT MATCH,YES
PB5_T1,PB5,pct_momentum,5,1.0,logret_avg__5,1.0,EXACT MATCH,YES
PB5_T2,PB5,pct_momentum,10,1.0,logret_avg__10,1.0,EXACT MATCH,YES
PB5_T3,PB5,pct_momentum,30,1.0,logret_avg__30,1.0,EXACT MATCH,YES
PB5_T4,PB5,pct_momentum,60,1.0,logret_avg__60,1.0,EXACT MATCH,YES
PB5_T5,PB5,sma_pct_dev,120,0.938,sma_dev__120,0.9379,STRONG MATCH,YES
PB5_T6,PB5,pct_momentum,120,1.0,logret_avg__120,1.0,EXACT MATCH,YES
PB5_T7,PB5,pct_momentum,300,1.0,logret_avg__300,1.0,EXACT MATCH,YES
PB5_T8,PB5,pct_momentum,600,1.0,logret_avg__600,1.0,EXACT MATCH,YES
PB5_T9,PB5,sma_dev,1200,0.935,sma_pct_dev__1200,0.935,STRONG MATCH,YES
PB5_T10,PB5,sma_dev,1800,0.9191,sma_pct_dev__1800,0.9191,STRONG MATCH,YES
PB5_T11,PB5,pct_momentum,1800,1.0,logret_avg__1800,1.0,EXACT MATCH,YES
PB5_T12,PB5,pct_momentum,3600,1.0,logret_avg__3600,1.0,EXACT MATCH,YES
PB6_T1,PB6,logret_avg,10,0.9227,pct_momentum__10,0.9227,STRONG MATCH,YES
PB6_T2,PB6,logret_avg,30,0.882,pct_momentum__30,0.882,STRONG MATCH,YES
PB6_T3,PB6,sma_pct_dev,120,0.8935,sma_dev__120,0.8935,STRONG MATCH,YES
PB6_T4,PB6,sma_dev,300,0.883,sma_pct_dev__300,0.883,STRONG MATCH,YES
PB6_T5,PB6,sma_pct_dev,300,0.8607,sma_dev__300,0.8606,STRONG MATCH,YES
PB6_T6,PB6,pct_momentum,300,0.8967,logret_avg__300,0.8967,STRONG MATCH,YES
PB6_T7,PB6,sma_pct_dev,1200,0.8803,sma_dev__1200,0.8802,STRONG MATCH,YES
PB6_T8,PB6,logret_avg,1200,0.8718,pct_momentum__1200,0.8718,STRONG MATCH,YES
PB6_T9,PB6,sma_pct_dev,3600,0.8741,sma_dev__3600,0.8741,STRONG MATCH,YES
PB6_T10,PB6,logret_avg,3600,0.8995,pct_momentum__3600,0.8995,STRONG MATCH,YES
PB6_T11,PB6,logret_avg,3600,0.8738,pct_momentum__3600,0.8737,STRONG MATCH,YES
PB6_T12,PB6,sma,1200,0.6818,sma_median__1200,0.6815,WEAK,NO
PB7_T1,PB7,z_norm,5,1.0,stochastic__5,0.9409,EXACT MATCH,YES
PB7_T2,PB7,z_norm,10,1.0,stochastic__10,0.9435,EXACT MATCH,YES
PB7_T3,PB7,z_norm,30,1.0,stochastic__30,0.9459,EXACT MATCH,YES
PB7_T4,PB7,z_norm,60,1.0,stochastic__60,0.9475,EXACT MATCH,YES
PB7_T5,PB7,z_norm,120,0.9664,z_norm__60,0.9419,EXACT MATCH,YES
PB7_T6,PB7,z_norm,120,1.0,stochastic__120,0.949,EXACT MATCH,YES
PB7_T7,PB7,z_norm,300,1.0,stochastic__300,0.9499,EXACT MATCH,YES
PB7_T8,PB7,z_norm,600,1.0,stochastic__600,0.9497,EXACT MATCH,YES
PB7_T9,PB7,z_norm,1200,0.9677,z_norm__600,0.9463,EXACT MATCH,YES
PB7_T10,PB7,z_norm,1800,0.9846,z_norm__1200,0.9787,EXACT MATCH,YES
PB7_T11,PB7,z_norm,1800,1.0,stochastic__1800,0.9493,EXACT MATCH,YES
PB7_T12,PB7,z_norm,3600,1.0,stochastic__3600,0.9461,EXACT MATCH,YES
