family,avg_abs_spearman,max_abs_spearman,n_features
PV2,0.0151474,0.028706,1
BB23,0.0148818,0.019814,1
BB24,0.013136399999999998,0.016543,1
BB21,0.0127578,0.021145,1
BB19,0.0125032,0.019994,1
BB17,0.0122676,0.01977,1
BB16,0.0114036,0.017286,1
PB8,0.009406716666666667,0.023971,12
PB18,0.009118383333333334,0.025064,12
PB7,0.009072,0.025121,12
BB10,0.009072,0.025121,12
PB15,0.008857833333333334,0.024335,12
PB17,0.008857833333333334,0.024335,12
BB3,0.008818133333333334,0.021312,12
BB18,0.0083216,0.013803,1
PB16,0.008042200000000001,0.021428,12
VB2,0.0080223,0.027846,12
PB3,0.007889133333333333,0.023452,12
VB4,0.007775516666666666,0.025945,12
VB3,0.0077753833333333335,0.025946,12
BB25,0.0073372,0.013572,1
PB1,0.007194233333333333,0.020469,12
PB4,0.007194233333333333,0.020469,12
PB12,0.007194233333333333,0.020469,12
PB5,0.007194233333333333,0.020469,12
PB13,0.007189183333333333,0.020467,12
PB2,0.0070352,0.019861,12
BB20,0.0070048,0.012173,1
BB22,0.0069306,0.011727,1
PB10,0.006860433333333333,0.014744,12
BB11,0.006852166666666667,0.014741,12
BB2,0.006783266666666667,0.018291,12
PB14,0.006735966666666667,0.020027,12
BB7,0.0066092166666666665,0.013076,12
PV1,0.006505933333333333,0.033768,12
V8,0.006262793939393939,0.029617,66
BB9,0.0062146,0.026148,12
VB5,0.006015916666666667,0.028033,12
BB26,0.0059708,0.01677,1
BB14,0.005835516666666667,0.009904,12
BB1,0.0057928,0.010283,12
BB6,0.0057790666666666666,0.010393,12
BB4,0.0057790666666666666,0.010393,12
BB13,0.005764549999999999,0.009812,12
BB5,0.005764549999999999,0.009812,12
BB15,0.0056964,0.009737,12
PB9,0.0055352,0.009412,12
PB6,0.005528416666666667,0.036362,12
VB1,0.005321149999999999,0.020835,12
BB8,0.005253033333333334,0.010729,12
PB11,0.005232933333333333,0.010544,12
BB12,0.0052168499999999994,0.010536,12
V3,0.004199850000000001,0.009372,12
V5,0.0036238,0.004957,1
PV3,0.003529002380952381,0.013796,84
V1,0.0034122833333333335,0.005904,12
V4,0.003386,0.0059,12
V2,0.0025878999999999997,0.014519,12
VB6,0.0025239499999999996,0.004882,12
