feature,family,forward_horizon,pearson_ic,spearman_ic,abs_pearson_ic,abs_spearman_ic
PB1_T1,PB1,10,-0.013251,-0.017438,0.013251,0.017438
PB1_T1,PB1,30,-0.001663,-0.014579,0.001663,0.014579
PB1_T1,PB1,60,0.000174,-0.008578,0.000174,0.008578
PB1_T1,PB1,120,-0.003237,-0.007814,0.003237,0.007814
PB1_T1,PB1,300,0.001761,-0.003731,0.001761,0.003731
PB1_T2,PB1,10,-0.007574,-0.016706,0.007574,0.016706
PB1_T2,PB1,30,0.001903,-0.017326,0.001903,0.017326
PB1_T2,PB1,60,0.003663,-0.009651,0.003663,0.009651
PB1_T2,PB1,120,-0.001485,-0.008497,0.001485,0.008497
PB1_T2,PB1,300,0.004039,-0.004243,0.004039,0.004243
PB1_T3,PB1,10,0.002571,-0.020469,0.002571,0.020469
PB1_T3,PB1,30,0.013175,-0.018722,0.013175,0.018722
PB1_T3,PB1,60,0.005017,-0.015103,0.005017,0.015103
PB1_T3,PB1,120,-6.8e-05,-0.013985,6.8e-05,0.013985
PB1_T3,PB1,300,0.006537,-0.007992,0.006537,0.007992
PB1_T4,PB1,10,0.004715,-0.012196,0.004715,0.012196
PB1_T4,PB1,30,0.005304,-0.013492,0.005304,0.013492
PB1_T4,PB1,60,-0.005059,-0.015988,0.005059,0.015988
PB1_T4,PB1,120,-0.005874,-0.012866,0.005874,0.012866
PB1_T4,PB1,300,0.006307,-0.006843,0.006307,0.006843
PB1_T5,PB1,10,-0.001789,-0.013169,0.001789,0.013169
PB1_T5,PB1,30,-0.00185,-0.014764,0.00185,0.014764
PB1_T5,PB1,60,-0.006295,-0.013795,0.006295,0.013795
PB1_T5,PB1,120,-0.004373,-0.009947,0.004373,0.009947
PB1_T5,PB1,300,0.008089,-0.005716,0.008089,0.005716
PB1_T6,PB1,10,-0.000118,-0.008996,0.000118,0.008996
PB1_T6,PB1,30,0.001084,-0.010102,0.001084,0.010102
PB1_T6,PB1,60,-0.004898,-0.011408,0.004898,0.011408
PB1_T6,PB1,120,0.001841,-0.007494,0.001841,0.007494
PB1_T6,PB1,300,0.010441,-0.004654,0.010441,0.004654
PB1_T7,PB1,10,0.003608,-0.003682,0.003608,0.003682
PB1_T7,PB1,30,0.005464,-0.003969,0.005464,0.003969
PB1_T7,PB1,60,0.004723,-0.006422,0.004723,0.006422
PB1_T7,PB1,120,0.009492,-0.003179,0.009492,0.003179
PB1_T7,PB1,300,-0.013271,-0.004604,0.013271,0.004604
PB1_T8,PB1,10,-0.002754,-0.002938,0.002754,0.002938
PB1_T8,PB1,30,-0.003616,-0.00111,0.003616,0.00111
PB1_T8,PB1,60,-0.008294,-0.002388,0.008294,0.002388
PB1_T8,PB1,120,-0.013661,-0.002803,0.013661,0.002803
PB1_T8,PB1,300,-0.028482,0.006105,0.028482,0.006105
PB1_T9,PB1,10,-0.004705,-0.000619,0.004705,0.000619
PB1_T9,PB1,30,-0.008186,0.001344,0.008186,0.001344
