rank,feature,family,avg_abs_pearson,avg_abs_spearman,max_abs_spearman,best_horizon
1,BB3_T5,BB3,0.006033,0.0168986,0.020512,30
2,BB3_T6,BB3,0.0069512,0.016382,0.021102,60
3,BB10_T3,BB10,0.0035556,0.016239800000000002,0.025121,10
4,PB7_T3,PB7,0.0035556,0.016239800000000002,0.025121,10
5,PB18_T3,PB18,0.0036246,0.016234199999999997,0.025064,10
6,PB8_T4,PB8,0.002395,0.0159084,0.022908,10
7,BB3_T4,BB3,0.0052484,0.0157918,0.020604,10
8,PB18_T4,PB18,0.0027928000000000002,0.015618799999999999,0.022874,10
9,PB17_T3,PB17,0.0029381999999999998,0.015617,0.024335,10
10,PB15_T3,PB15,0.0029381999999999998,0.015617,0.024335,10
11,BB10_T4,BB10,0.0025922000000000002,0.015565399999999998,0.022805,10
12,PB7_T4,PB7,0.0025922000000000002,0.015565399999999998,0.022805,10
13,PB8_T3,PB8,0.003012,0.0155634,0.023971,10
14,PB8_T5,PB8,0.0027166,0.015336800000000001,0.020675,10
15,PB3_T3,PB3,0.0034828,0.015291599999999999,0.021917,10
16,PB12_T3,PB12,0.0054962000000000006,0.0152542,0.020469,10
17,PB5_T3,PB5,0.0054962000000000006,0.0152542,0.020469,10
18,PB1_T3,PB1,0.0054736,0.0152542,0.020469,10
19,PB4_T3,PB4,0.0054736,0.0152542,0.020469,10
20,PB13_T3,PB13,0.0054876000000000005,0.0152526,0.020467,10
21,PV2,PV2,0.017380800000000002,0.0151474,0.028706,300
22,BB23,BB23,0.0055538,0.0148818,0.019814,10
23,BB3_T3,BB3,0.0039324,0.0148512,0.021312,10
24,PB3_T2,PB3,0.0031402,0.0148034,0.023452,10
25,PV1_T9,PV1,0.0120836,0.014663199999999998,0.025039,300
26,PB17_T4,PB17,0.0025004,0.014562,0.022324,10
27,PB15_T4,PB15,0.0025004,0.014562,0.022324,10
28,PB8_T6,PB8,0.0034094,0.0145018,0.019409,10
29,PB16_T3,PB16,0.0023014,0.014430599999999998,0.021428,10
30,PB18_T5,PB18,0.0034479999999999997,0.0144206,0.019966,10
31,PB7_T5,PB7,0.0032466,0.0144104,0.019839,10
32,BB10_T5,BB10,0.0032466,0.0144104,0.019839,10
33,PB6_T12,PB6,0.0054822000000000004,0.0143236,0.036362,300
34,V8_T8_T10,V8,0.0067205999999999985,0.013777800000000002,0.029617,300
35,PB6_T2,PB6,0.005407,0.013638,0.018244,10
36,PB14_T3,PB14,0.0028818,0.0135916,0.020027,10
37,PB7_T6,PB7,0.0038996000000000005,0.0135728,0.018348,10
38,BB10_T6,BB10,0.0038996000000000005,0.0135728,0.018348,10
39,PB18_T6,PB18,0.003982,0.0135046,0.018265,10
40,PB17_T5,PB17,0.0031380000000000006,0.013420999999999999,0.01961,10
41,PB15_T5,PB15,0.0031380000000000006,0.013420999999999999,0.01961,10
42,V8_T9_T10,V8,0.010075400000000002,0.013387,0.025603,300
43,BB2_T3,BB2,0.0037648,0.0133474,0.018291,10
44,PB2_T12,PB2,0.0013520000000000001,0.013303200000000001,0.019861,300
45,PB16_T4,PB16,0.0022132,0.0132688,0.019526,10
46,PV1_T10,PV1,0.0161034,0.013231799999999998,0.033768,300
47,BB24,BB24,0.006350799999999999,0.013136399999999998,0.016543,10
48,VB2_T12,VB2,0.022575599999999998,0.0129668,0.027846,300
49,PB3_T1,PB3,0.0030156,0.0129282,0.02146,10
50,BB21,BB21,0.0012604,0.0127578,0.021145,300
51,PB3_T4,PB3,0.0051513999999999996,0.012688399999999999,0.017835,10
52,V8_T8_T11,V8,0.005515,0.012620999999999999,0.023555,300
53,BB19,BB19,0.0019195999999999998,0.0125032,0.019994,300
54,PB17_T6,PB17,0.0042366,0.0124234,0.018269,10
55,PB15_T6,PB15,0.0042366,0.0124234,0.018269,10
56,PB13_T4,PB13,0.005454,0.0122814,0.015999,60
57,PB5_T4,PB5,0.005457399999999999,0.012277,0.015988,60
