day,rows,malformed_timestamps,duplicate_timestamps,missing_seconds,out_of_order,start_time,end_time,zero_prices,negative_prices,infinite_prices,longest_flat_streak,total_zero_return_ticks,bad_ticks_5sigma,max_tick_pct_change
1,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,24,11624,70,0.0379
2,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,11,4943,18,0.0493
3,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,12,7419,69,0.0525
4,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,11,5270,37,0.0631
5,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,9,4191,32,0.0592
6,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,7,4185,28,0.1067
7,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,11,6377,25,0.042
8,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,13,5973,30,0.0572
9,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,19,10169,44,0.0439
10,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,15,6555,59,0.0654
11,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,6,3130,38,0.127
12,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,13,5611,35,0.0735
13,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,12,5723,54,0.0731
14,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,19,6942,105,0.0447
15,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,10,6099,47,0.0458
16,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,13,6309,48,0.1063
17,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,9,3644,13,0.2384
18,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,13,5557,23,0.042
19,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,17,7640,38,0.0534
20,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,11,5540,35,0.069
21,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,10,4694,42,0.0597
22,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,10,4561,71,0.0583
23,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,13,5762,34,0.1234
24,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,23,9681,36,0.0725
25,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,20,10716,54,0.041
26,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,9,5751,37,0.0668
27,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,16,9090,38,0.0267
28,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,10,5076,31,0.274
29,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,17,10095,87,0.0565
30,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,12,7404,60,0.061
31,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,12,5248,35,0.0735
32,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,16,6830,30,0.0834
33,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,6,3047,20,0.1211
34,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,13,8115,50,0.0711
35,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,10,5392,36,0.092
36,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,118,2150,38,0.3192
37,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,10,6264,44,0.048
38,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,10,4777,42,0.0997
39,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,10,3736,52,0.0933
40,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,10,5409,38,0.0844
41,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,11,5573,37,0.057
42,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,26,10801,75,0.0302
43,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,24,9653,75,0.0328
44,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,8,3995,32,0.0676
45,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,12,6229,33,0.0776
46,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,19,10584,54,0.0371
47,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,13,6235,39,0.0513
48,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,16,8244,54,0.0651
49,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,7,4012,79,0.0742
50,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,12,6222,25,0.0286
51,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,15,5450,58,0.1968
52,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,14,7078,67,0.0593
53,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,10,6138,27,0.0316
54,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,13,6687,51,0.056
55,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,14,4285,34,0.1043
56,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,14,8400,57,0.1032
57,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,13,7798,44,0.0532
58,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,10,4770,32,0.1963
59,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,11,5995,31,0.0325
60,17280,0,0,0,0,00:00:00,04:47:59,0,0,0,23,8048,94,0.0696
61,17136,0,0,0,0,00:00:00,04:45:35,0,0,0,13,4697,36,0.0558
62,14832,0,0,0,0,00:00:00,04:07:11,0,0,0,10,4175,42,0.0469
63,14976,0,0,0,0,00:00:00,04:09:35,0,0,0,7,2426,46,0.0762
64,14688,0,0,0,0,00:00:00,04:04:47,0,0,0,17,5371,27,0.0332
80,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,19,11706,66,0.0386
81,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,18,7850,69,0.0241
82,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,17,9087,50,0.0301
83,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,12,6320,53,0.1089
84,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,9,4670,40,0.0878
85,23340,0,0,0,0,00:00:00,06:28:59,0,0,0,21,6826,93,0.1464
