day,horizon,n_obs,actual_1sigma,expected_1sigma,ratio_1sigma,actual_2sigma,expected_2sigma,ratio_2sigma,actual_3sigma,expected_3sigma,ratio_3sigma,actual_4sigma,expected_4sigma,ratio_4sigma,actual_5sigma,expected_5sigma,ratio_5sigma
1,1min,23280,5973,7386.99,0.81,1269,1059.25,1.2,384,62.85,6.11,99,1.47,67.14,15,0.01,1123.89
1,5min,23040,5918,7310.83,0.81,1416,1048.33,1.35,273,62.2,4.39,21,1.46,14.39,0,0.01,0.0
2,1min,23280,7398,7386.99,1.0,1083,1059.25,1.02,51,62.85,0.81,3,1.47,2.03,0,0.01,0.0
2,5min,23040,6839,7310.83,0.94,1220,1048.33,1.16,119,62.2,1.91,9,1.46,6.17,0,0.01,0.0
3,1min,23280,5428,7386.99,0.73,1370,1059.25,1.29,444,62.85,7.06,85,1.47,57.64,16,0.01,1198.82
3,5min,23040,5968,7310.83,0.82,1287,1048.33,1.23,378,62.2,6.08,34,1.46,23.3,0,0.01,0.0
4,1min,23280,6178,7386.99,0.84,1297,1059.25,1.22,213,62.85,3.39,45,1.47,30.52,8,0.01,599.41
4,5min,23040,6686,7310.83,0.91,1183,1048.33,1.13,177,62.2,2.85,0,1.46,0.0,0,0.01,0.0
5,1min,23280,6283,7386.99,0.85,1328,1059.25,1.25,229,62.85,3.64,35,1.47,23.74,0,0.01,0.0
5,5min,23040,5823,7310.83,0.8,1570,1048.33,1.5,218,62.2,3.5,0,1.46,0.0,0,0.01,0.0
6,1min,23280,6691,7386.99,0.91,1224,1059.25,1.16,173,62.85,2.75,29,1.47,19.67,0,0.01,0.0
6,5min,23040,7032,7310.83,0.96,1175,1048.33,1.12,25,62.2,0.4,0,1.46,0.0,0,0.01,0.0
7,1min,23280,6775,7386.99,0.92,1211,1059.25,1.14,157,62.85,2.5,11,1.47,7.46,0,0.01,0.0
7,5min,23040,7249,7310.83,0.99,1046,1048.33,1.0,94,62.2,1.51,1,1.46,0.69,0,0.01,0.0
8,1min,23280,5788,7386.99,0.78,1236,1059.25,1.17,294,62.85,4.68,97,1.47,65.78,43,0.01,3221.82
8,5min,23040,6056,7310.83,0.83,1326,1048.33,1.26,222,62.2,3.57,74,1.46,50.71,0,0.01,0.0
9,1min,23280,6541,7386.99,0.89,1274,1059.25,1.2,192,62.85,3.05,41,1.47,27.8,4,0.01,299.7
9,5min,23040,6930,7310.83,0.95,1247,1048.33,1.19,44,62.2,0.71,0,1.46,0.0,0,0.01,0.0
10,1min,23280,6147,7386.99,0.83,1180,1059.25,1.11,261,62.85,4.15,54,1.47,36.62,25,0.01,1873.15
